#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2025-10-15T08:46:56.434+01:00","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2025-10-15T08:46:58.106+01:00","TRACKPOINT",51.376455,-2.35525,73.3,6,,6.62,,,,,,
"2025-10-15T08:46:59.096+01:00","TRACKPOINT",51.376546,-2.355358,81.3,3,,5.68,,,,,,
"2025-10-15T08:47:01.628+01:00","TRACKPOINT",51.376621,-2.355476,86.7,3,,6.67,,,,,,
"2025-10-15T08:47:04.623+01:00","TRACKPOINT",51.376711,-2.35548,88.1,3,,5.87,,,,,,
"2025-10-15T08:47:14.075+01:00","TRACKPOINT",51.376741,-2.355606,86,2,,5.55,,,,,,
"2025-10-15T08:47:14.631+01:00","IDLE",51.376741,-2.355606,86,2,,5.55,,,,,,
"2025-10-15T08:47:22.076+01:00","TRACKPOINT",51.376835,-2.355638,86.7,2,,4.57,,,,,,
"2025-10-15T08:47:31.101+01:00","TRACKPOINT",51.376836,-2.355606,84.9,2,,0,,,,,,
"2025-10-15T08:47:32.081+01:00","IDLE",51.376836,-2.355606,84.9,2,,0,,,,,,
"2025-10-15T08:48:05.121+01:00","TRACKPOINT",51.376846,-2.355755,75.9,2,,4.34,,,,,,
"2025-10-15T08:48:15.1+01:00","TRACKPOINT",51.376841,-2.355808,75.2,1,,0,,,,,,
"2025-10-15T08:48:15.13+01:00","IDLE",51.376841,-2.355808,75.2,1,,0,,,,,,
"2025-10-15T08:48:42.066+01:00","TRACKPOINT",51.376861,-2.355961,75.4,2,,3.95,,,,,,
"2025-10-15T08:48:49.092+01:00","TRACKPOINT",51.376838,-2.356106,75.4,2,,5.62,,,,,,
"2025-10-15T08:48:57.092+01:00","TRACKPOINT",51.376819,-2.356261,74.6,2,,4.91,,,,,,
"2025-10-15T08:49:07.099+01:00","TRACKPOINT",51.37692,-2.356295,75.5,2,,3.72,,,,,,
"2025-10-15T08:49:13.064+01:00","TRACKPOINT",51.377011,-2.356333,75.8,2,,5.79,,,,,,
"2025-10-15T08:49:21.086+01:00","TRACKPOINT",51.377105,-2.356336,79.3,2,,4.68,,,,,,
"2025-10-15T08:49:28.089+01:00","TRACKPOINT",51.377206,-2.356338,78.4,2,,4.51,,,,,,
"2025-10-15T08:49:38.092+01:00","TRACKPOINT",51.377266,-2.356426,73.9,2,,3.98,,,,,,
"2025-10-15T08:49:38.102+01:00","IDLE",51.377266,-2.356426,73.9,2,,3.98,,,,,,
"2025-10-15T08:49:45.076+01:00","TRACKPOINT",51.377248,-2.356598,70.9,2,,4.58,,,,,,
"2025-10-15T08:49:54.083+01:00","TRACKPOINT",51.377235,-2.356748,70.4,2,,5.25,,,,,,
"2025-10-15T08:50:02.088+01:00","TRACKPOINT",51.37722,-2.356893,71.7,2,,4.35,,,,,,
"2025-10-15T08:50:11.089+01:00","TRACKPOINT",51.377196,-2.357041,74.7,2,,3.56,,,,,,
"2025-10-15T08:50:21.091+01:00","TRACKPOINT",51.377183,-2.357138,75.6,2,,0,,,,,,
"2025-10-15T08:50:21.105+01:00","IDLE",51.377183,-2.357138,75.6,2,,0,,,,,,
"2025-10-15T08:50:33.084+01:00","TRACKPOINT",51.37722,-2.357298,75.5,3,,0,,,,,,
"2025-10-15T08:50:36.089+01:00","TRACKPOINT",51.377301,-2.357421,75.6,4,,0,,,,,,
"2025-10-15T08:50:39.088+01:00","TRACKPOINT",51.377401,-2.357503,75.4,3,,5.58,,,,,,
"2025-10-15T08:50:41.081+01:00","TRACKPOINT",51.377516,-2.357545,76.1,2,,5.86,,,,,,
"2025-10-15T08:50:44.084+01:00","TRACKPOINT",51.37761,-2.357571,79.4,2,,5.63,,,,,,
"2025-10-15T08:50:50.08+01:00","TRACKPOINT",51.377686,-2.357646,82.5,2,,5.01,,,,,,
"2025-10-15T08:50:58.09+01:00","TRACKPOINT",51.377758,-2.357743,80.2,2,,4.54,,,,,,
"2025-10-15T08:51:08.086+01:00","TRACKPOINT",51.377825,-2.357791,77.8,2,,2.28,,,,,,
