#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2025-10-21T08:46:42.211+01:00","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2025-10-21T08:46:53.557+01:00","TRACKPOINT",51.376535,-2.354923,60.2,10,,3.74,,,,,,
"2025-10-21T08:47:02.911+01:00","TRACKPOINT",51.376556,-2.355043,73.4,2,,4.29,,,,,,
"2025-10-21T08:47:03.565+01:00","IDLE",51.376556,-2.355043,73.4,2,,4.29,,,,,,
"2025-10-21T08:47:08.925+01:00","TRACKPOINT",51.376601,-2.355186,70.8,2,,4.74,,,,,,
"2025-10-21T08:47:15.924+01:00","TRACKPOINT",51.376618,-2.355336,69.6,2,,4.83,,,,,,
"2025-10-21T08:47:22.909+01:00","TRACKPOINT",51.376635,-2.355493,68.4,2,,4.49,,,,,,
"2025-10-21T08:47:29.923+01:00","TRACKPOINT",51.376651,-2.355641,66.7,2,,3.59,,,,,,
"2025-10-21T08:47:34.924+01:00","TRACKPOINT",51.376698,-2.355795,65.3,2,,4.64,,,,,,
"2025-10-21T08:47:42.903+01:00","TRACKPOINT",51.376788,-2.35584,66,2,,3.12,,,,,,
"2025-10-21T08:47:51.904+01:00","TRACKPOINT",51.376778,-2.355751,71.3,2,,1.03,,,,,,
"2025-10-21T08:47:52.909+01:00","IDLE",51.376778,-2.355751,71.3,2,,1.03,,,,,,
"2025-10-21T08:48:03.91+01:00","TRACKPOINT",51.376783,-2.35591,78.7,2,,4.74,,,,,,
"2025-10-21T08:48:08.908+01:00","TRACKPOINT",51.376758,-2.356051,78.9,2,,5.43,,,,,,
"2025-10-21T08:48:13.912+01:00","TRACKPOINT",51.376726,-2.356214,80,2,,5.91,,,,,,
"2025-10-21T08:48:21.906+01:00","TRACKPOINT",51.376819,-2.356253,82.7,2,,4.71,,,,,,
"2025-10-21T08:48:27.916+01:00","TRACKPOINT",51.376926,-2.356261,83.9,2,,6.34,,,,,,
"2025-10-21T08:48:32.913+01:00","TRACKPOINT",51.377023,-2.356283,84.3,2,,5.94,,,,,,
"2025-10-21T08:48:39.914+01:00","TRACKPOINT",51.377126,-2.356291,85.5,2,,5.15,,,,,,
"2025-10-21T08:48:45.925+01:00","TRACKPOINT",51.377228,-2.356333,84.5,2,,5.02,,,,,,
"2025-10-21T08:48:52.893+01:00","TRACKPOINT",51.377258,-2.356478,81.7,2,,4.92,,,,,,
"2025-10-21T08:49:01.911+01:00","TRACKPOINT",51.377258,-2.356638,81.7,2,,4.61,,,,,,
"2025-10-21T08:49:08.899+01:00","TRACKPOINT",51.377244,-2.356795,81.5,2,,4.58,,,,,,
"2025-10-21T08:49:14.929+01:00","TRACKPOINT",51.377226,-2.356956,79.6,2,,4.82,,,,,,
"2025-10-21T08:49:24.935+01:00","TRACKPOINT",51.377205,-2.357098,77.1,2,,3.9,,,,,,
"2025-10-21T08:49:34.897+01:00","TRACKPOINT",51.377199,-2.357176,75.4,2,,0,,,,,,
"2025-10-21T08:49:34.945+01:00","IDLE",51.377199,-2.357176,75.4,2,,0,,,,,,
"2025-10-21T08:49:45.927+01:00","TRACKPOINT",51.377273,-2.357283,75.4,4,,2.91,,,,,,
"2025-10-21T08:49:48.903+01:00","TRACKPOINT",51.377421,-2.357346,77.1,3,,2.26,,,,,,
"2025-10-21T08:49:51.894+01:00","TRACKPOINT",51.377535,-2.357386,79,2,,1.72,,,,,,
"2025-10-21T08:49:56.913+01:00","TRACKPOINT",51.37761,-2.357515,81.7,2,,3.3,,,,,,
"2025-10-21T08:50:01.888+01:00","TRACKPOINT",51.377671,-2.357638,83,2,,4.67,,,,,,
"2025-10-21T08:50:08.898+01:00","TRACKPOINT",51.377741,-2.357735,81,2,,4.15,,,,,,
"2025-10-21T08:50:17.915+01:00","TRACKPOINT",51.37781,-2.357775,73.5,2,,1.99,,,,,,
"2025-10-21T08:50:18.906+01:00","IDLE",51.37781,-2.357775,73.5,2,,1.99,,,,,,
"2025-10-21T08:51:58.929+01:00","TRACKPOINT",51.377861,-2.357896,72.5,2,,1.03,,,,,,
"2025-10-21T08:52:08.92+01:00","TRACKPOINT",51.377838,-2.357921,78,2,,0,,,,,,
"2025-10-21T08:52:08.936+01:00","IDLE",51.377838,-2.357921,78,2,,0,,,,,,
"2025-10-21T08:52:25.905+01:00","TRACKPOINT",51.377838,-2.357776,76.6,2,,1.73,,,,,,
"2025-10-21T08:52:34.918+01:00","TRACKPOINT",51.377846,-2.357781,77,2,,0,,,,,,
"2025-10-21T08:52:35.914+01:00","IDLE",51.377846,-2.357781,77,2,,0,,,,,,
"2025-10-21T08:57:54.899+01:00","TRACKPOINT",51.377923,-2.357703,76.2,2,,0,,,,,,
"2025-10-21T08:58:03.917+01:00","TRACKPOINT",51.377919,-2.357698,76.2,2,,0,,,,,,
"2025-10-21T08:58:04.907+01:00","IDLE",51.377919,-2.357698,76.2,2,,0,,,,,,
"2025-10-21T08:59:02.918+01:00","TRACKPOINT",51.377906,-2.357844,77,2,,1.27,,,,,,
"2025-10-21T08:59:09.926+01:00","TRACKPOINT",51.377915,-2.358025,77.5,2,,3.89,,,,,,
"2025-10-21T08:59:12.904+01:00","TRACKPOINT",51.37791,-2.35823,78.4,2,,6.82,,,,,,
"2025-10-21T08:59:14.932+01:00","TRACKPOINT",51.377911,-2.358401,78.8,3,,9.96,,,,,,
"2025-10-21T08:59:16.906+01:00","TRACKPOINT",51.37793,-2.358625,78.8,3,,13.42,,,,,,
"2025-10-21T08:59:18.916+01:00","TRACKPOINT",51.377949,-2.358833,78.6,3,,16.07,,,,,,
"2025-10-21T08:59:20.944+01:00","TRACKPOINT",51.377976,-2.35901,78.3,3,,17.59,,,,,,
"2025-10-21T08:59:22.911+01:00","TRACKPOINT",51.377991,-2.359158,79.3,2,,17.07,,,,,,
"2025-10-21T08:59:26.908+01:00","TRACKPOINT",51.378006,-2.359313,77.5,2,,12.04,,,,,,
"2025-10-21T08:59:36.908+01:00","TRACKPOINT",51.378018,-2.359395,76.8,2,,1.74,,,,,,
"2025-10-21T08:59:36.919+01:00","IDLE",51.378018,-2.359395,76.8,2,,1.74,,,,,,
"2025-10-21T08:59:56.909+01:00","TRACKPOINT",51.378016,-2.35956,78.4,2,,4.07,,,,,,
"2025-10-21T09:00:00.915+01:00","TRACKPOINT",51.377923,-2.359658,78,2,,7.41,,,,,,
"2025-10-21T09:00:02.924+01:00","TRACKPOINT",51.377838,-2.359803,77.3,2,,9.14,,,,,,
"2025-10-21T09:00:04.922+01:00","TRACKPOINT",51.37781,-2.359969,77.5,2,,10.82,,,,,,
"2025-10-21T09:00:06.904+01:00","TRACKPOINT",51.377826,-2.360151,77.2,2,,12.56,,,,,,
"2025-10-21T09:00:08.916+01:00","TRACKPOINT",51.377843,-2.360295,77.1,2,,13.17,,,,,,
"2025-10-21T09:00:12.913+01:00","TRACKPOINT",51.377853,-2.360478,76.3,2,,11.91,,,,,,
"2025-10-21T09:00:15.911+01:00","TRACKPOINT",51.377873,-2.360658,75.9,2,,11.28,,,,,,
"2025-10-21T09:00:17.924+01:00","TRACKPOINT",51.377886,-2.360821,75.7,2,,12.35,,,,,,
"2025-10-21T09:00:19.919+01:00","TRACKPOINT",51.377911,-2.361013,75.8,3,,14.96,,,,,,
"2025-10-21T09:00:21.917+01:00","TRACKPOINT",51.377958,-2.361213,74.9,3,,18.08,,,,,,
"2025-10-21T09:00:23.911+01:00","TRACKPOINT",51.378038,-2.361375,74.3,3,,20.25,,,,,,
"2025-10-21T09:00:25.904+01:00","TRACKPOINT",51.378138,-2.361453,73.3,3,,21.04,,,,,,
"2025-10-21T09:00:27.908+01:00","TRACKPOINT",51.378276,-2.361413,72.2,3,,21.97,,,,,,
"2025-10-21T09:00:29.92+01:00","TRACKPOINT",51.378408,-2.361345,70.2,2,,26.22,,,,,,
"2025-10-21T09:00:31.921+01:00","TRACKPOINT",51.378538,-2.361276,69.4,2,,26.61,,,,,,
"2025-10-21T09:00:33.91+01:00","TRACKPOINT",51.378656,-2.361216,68.8,2,,22.17,,,,,,
"2025-10-21T09:00:35.923+01:00","TRACKPOINT",51.378746,-2.361181,68.1,2,,14.82,,,,,,
"2025-10-21T09:00:45.921+01:00","TRACKPOINT",51.37886,-2.361205,64.8,2,,11.66,,,,,,
"2025-10-21T09:00:48.913+01:00","TRACKPOINT",51.378933,-2.361348,63.8,2,,17.43,,,,,,
"2025-10-21T09:00:50.918+01:00","TRACKPOINT",51.378968,-2.361513,63.2,2,,21.78,,,,,,
"2025-10-21T09:00:52.916+01:00","TRACKPOINT",51.37901,-2.361706,63,2,,26.75,,,,,,
"2025-10-21T09:00:54.912+01:00","TRACKPOINT",51.379059,-2.361926,62.5,2,,28.58,,,,,,
"2025-10-21T09:00:56.912+01:00","TRACKPOINT",51.379101,-2.362145,62.2,2,,28.11,,,,,,
"2025-10-21T09:00:58.913+01:00","TRACKPOINT",51.379135,-2.362356,62.1,2,,25.77,,,,,,
"2025-10-21T09:01:00.925+01:00","TRACKPOINT",51.379156,-2.362549,61.9,2,,23.18,,,,,,
"2025-10-21T09:01:02.92+01:00","TRACKPOINT",51.379173,-2.36272,61.6,2,,18.6,,,,,,
"2025-10-21T09:01:05.901+01:00","TRACKPOINT",51.37919,-2.362888,60.8,2,,12.18,,,,,,
"2025-10-21T09:01:15.908+01:00","TRACKPOINT",51.379171,-2.363,61.9,2,,0,,,,,,
"2025-10-21T09:01:15.917+01:00","IDLE",51.379171,-2.363,61.9,2,,0,,,,,,
"2025-10-21T09:01:50.915+01:00","TRACKPOINT",51.379158,-2.363166,62.7,2,,15.43,,,,,,
"2025-10-21T09:01:52.913+01:00","TRACKPOINT",51.379166,-2.36331,62.8,2,,19.67,,,,,,
"2025-10-21T09:01:54.913+01:00","TRACKPOINT",51.379176,-2.363498,63.1,2,,25.66,,,,,,
