#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2025-11-08T17:22:50.311Z","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2025-11-08T17:22:56.624Z","TRACKPOINT",51.377994,-2.358428,88.1,7,,0,,,,,,
"2025-11-08T17:23:05.648Z","TRACKPOINT",51.377956,-2.358576,48.4,3,,0,,,,,,
"2025-11-08T17:23:15.648Z","TRACKPOINT",51.37797,-2.358676,43.7,3,,0,,,,,,
"2025-11-08T17:23:15.663Z","IDLE",51.37797,-2.358676,43.7,3,,0,,,,,,
"2025-11-08T17:23:33.643Z","TRACKPOINT",51.377923,-2.358808,36.5,3,,0,,,,,,
"2025-11-08T17:23:42.904Z","TRACKPOINT",51.377895,-2.358866,36,3,,0,,,,,,
"2025-11-08T17:23:43.658Z","IDLE",51.377895,-2.358866,36,3,,0,,,,,,
"2025-11-08T17:24:54.908Z","TRACKPOINT",51.377921,-2.358654,51.9,3,,0,,,,,,
"2025-11-08T17:25:04.903Z","TRACKPOINT",51.377931,-2.358613,53,2,,0,,,,,,
"2025-11-08T17:25:04.921Z","IDLE",51.377931,-2.358613,53,2,,0,,,,,,
"2025-11-08T17:27:02.898Z","TRACKPOINT",51.377953,-2.358466,62.4,2,,0,,,,,,
"2025-11-08T17:27:12.891Z","TRACKPOINT",51.377955,-2.358454,62.4,2,,0,,,,,,
"2025-11-08T17:27:12.913Z","IDLE",51.377955,-2.358454,62.4,2,,0,,,,,,
"2025-11-08T17:27:23.895Z","TRACKPOINT",51.377876,-2.358531,63.1,2,,0,,,,,,
"2025-11-08T17:27:32.893Z","TRACKPOINT",51.377883,-2.358538,63.6,2,,0,,,,,,
"2025-11-08T17:27:33.906Z","IDLE",51.377883,-2.358538,63.6,2,,0,,,,,,
"2025-11-08T17:28:02.895Z","TRACKPOINT",51.377793,-2.358538,65.2,2,,0,,,,,,
"2025-11-08T17:28:12.897Z","TRACKPOINT",51.377805,-2.35853,65.2,2,,0,,,,,,
"2025-11-08T17:28:12.91Z","IDLE",51.377805,-2.35853,65.2,2,,0,,,,,,
"2025-11-08T17:30:25.906Z","TRACKPOINT",51.37778,-2.358685,69.7,2,,1.25,,,,,,
"2025-11-08T17:30:35.903Z","TRACKPOINT",51.377775,-2.358763,67.9,2,,0,,,,,,
"2025-11-08T17:30:35.92Z","IDLE",51.377775,-2.358763,67.9,2,,0,,,,,,
"2025-11-08T17:30:43.903Z","TRACKPOINT",51.377758,-2.358608,67.6,2,,3.22,,,,,,
"2025-11-08T17:30:47.894Z","TRACKPOINT",51.377756,-2.35843,67.2,2,,0,,,,,,
"2025-11-08T17:30:52.905Z","TRACKPOINT",51.377741,-2.358266,65.8,2,,7.86,,,,,,
"2025-11-08T17:30:57.903Z","TRACKPOINT",51.377838,-2.358346,65.2,3,,5.94,,,,,,
"2025-11-08T17:31:00.904Z","TRACKPOINT",51.37791,-2.358453,66.3,3,,5.87,,,,,,
"2025-11-08T17:31:04.899Z","TRACKPOINT",51.377945,-2.358593,67.1,2,,6.97,,,,,,
"2025-11-08T17:31:07.898Z","TRACKPOINT",51.377973,-2.358746,67.1,2,,9.73,,,,,,
