type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-11-09 19:32:33,51.53937489,0.08159493,10.19,57.557,,0.000,,28,40,20251109-193233,GPS Logger: 20251109-193233 - Only bus
T,2025-11-09 19:32:34,51.53936516,0.08158510,10.16,58.587,,0.000,,28,40,,
T,2025-11-09 19:32:35,51.53935646,0.08157785,9.83,60.042,,0.000,,26,40,,
T,2025-11-09 19:32:36,51.53934159,0.08155125,8.96,60.817,,0.370,219,26,40,,
T,2025-11-09 19:32:37,51.53931763,0.08150476,7.92,61.456,,2.040,222,24,40,,
T,2025-11-09 19:32:38,51.53929894,0.08146643,7.47,62.087,,3.370,222,25,40,,
T,2025-11-09 19:32:39,51.53927257,0.08142105,6.94,62.460,,4.560,220,26,40,,
T,2025-11-09 19:32:40,51.53923993,0.08137173,6.88,63.788,,4.600,218,26,40,,
T,2025-11-09 19:32:41,51.53919401,0.08130283,5.97,64.274,,6.480,222,26,40,,
T,2025-11-09 19:32:42,51.53915227,0.08123597,5.28,64.720,,6.350,222,26,40,,
T,2025-11-09 19:32:43,51.53908985,0.08117068,4.69,63.439,,6.870,219,26,40,,
T,2025-11-09 19:32:44,51.53905201,0.08111448,4.24,63.962,,6.500,217,27,40,,
T,2025-11-09 19:32:45,51.53900583,0.08105691,4.08,63.306,,6.060,216,28,40,,
T,2025-11-09 19:34:53,51.53611230,0.08187241,4.77,69.539,,0.000,,23,41,,
T,2025-11-09 19:34:54,51.53610944,0.08186477,4.44,68.973,,0.000,,26,41,,
T,2025-11-09 19:34:55,51.53610840,0.08186433,4.15,66.566,,0.000,,26,41,,
T,2025-11-09 19:34:56,51.53610906,0.08186963,4.24,62.761,,0.000,,26,41,,
T,2025-11-09 19:34:57,51.53610578,0.08186970,4.47,60.704,,0.000,,27,41,,
T,2025-11-09 19:34:58,51.53610791,0.08187847,4.60,60.330,,0.000,,27,41,,
T,2025-11-09 19:34:59,51.53610411,0.08188265,4.44,58.345,,0.000,,26,41,,
T,2025-11-09 19:35:00,51.53610524,0.08188257,4.27,58.457,,0.000,,26,41,,
T,2025-11-09 19:35:01,51.53610593,0.08187832,4.09,58.228,,0.000,,26,41,,
T,2025-11-09 19:35:02,51.53610755,0.08187864,3.94,59.120,,0.000,,29,41,,
T,2025-11-09 19:35:03,51.53610920,0.08187750,3.92,59.196,,0.000,,28,41,,
T,2025-11-09 19:35:04,51.53610932,0.08187715,3.85,59.314,,0.000,,29,41,,
T,2025-11-09 19:35:05,51.53610952,0.08187579,3.83,59.473,,0.000,,29,41,,
T,2025-11-09 19:35:06,51.53610924,0.08187542,3.83,59.463,,0.000,,29,41,,
T,2025-11-09 19:35:07,51.53610808,0.08187531,3.79,59.515,,0.000,,28,41,,
T,2025-11-09 19:35:08,51.53610448,0.08187393,3.93,59.557,,0.410,149,27,41,,
T,2025-11-09 19:35:09,51.53609610,0.08187937,4.07,59.271,,0.730,154,27,41,,
T,2025-11-09 19:35:10,51.53608101,0.08187327,3.98,59.917,,0.720,159,26,41,,
T,2025-11-09 19:35:11,51.53607071,0.08187349,3.99,59.787,,0.900,159,27,41,,
T,2025-11-09 19:35:12,51.53606349,0.08186715,3.88,60.066,,0.890,159,29,41,,
T,2025-11-09 19:35:13,51.53605923,0.08187193,3.84,60.113,,0.490,159,30,41,,
T,2025-11-09 19:35:14,51.53605699,0.08187426,3.82,58.541,,0.280,159,30,41,,
T,2025-11-09 19:35:15,51.53605382,0.08187467,3.82,57.954,,0.200,159,29,41,,
T,2025-11-09 19:35:16,51.53604928,0.08187527,3.79,57.792,,0.450,159,29,41,,
T,2025-11-09 19:35:17,51.53604384,0.08187760,3.81,58.361,,0.640,159,29,41,,
T,2025-11-09 19:35:18,51.53603713,0.08188028,3.79,57.444,,0.650,159,29,41,,
T,2025-11-09 19:35:19,51.53603544,0.08187928,3.79,57.022,,0.000,,29,41,,
T,2025-11-09 19:35:20,51.53603619,0.08187713,3.79,56.966,,0.000,,29,41,,
T,2025-11-09 19:35:21,51.53603507,0.08187668,3.79,56.867,,0.210,159,29,41,,
T,2025-11-09 19:35:22,51.53603436,0.08187615,3.79,56.997,,0.000,,29,41,,
T,2025-11-09 19:35:23,51.53603125,0.08187751,3.79,56.879,,0.490,160,28,41,,
T,2025-11-09 19:35:24,51.53602614,0.08188176,3.79,56.687,,0.720,160,28,41,,
T,2025-11-09 19:35:25,51.53601552,0.08188917,3.79,56.737,,1.710,159,27,41,,
T,2025-11-09 19:35:26,51.53599574,0.08190277,3.79,57.032,,2.790,158,25,41,,
T,2025-11-09 19:35:27,51.53596932,0.08192179,3.79,56.996,,3.500,157,26,41,,
T,2025-11-09 19:35:28,51.53593440,0.08194857,3.79,56.647,,4.880,156,26,41,,
T,2025-11-09 19:35:29,51.53589772,0.08199496,3.85,56.215,,5.150,150,26,41,,
T,2025-11-09 19:35:30,51.53585836,0.08202707,3.79,54.953,,4.380,151,27,41,,
T,2025-11-09 19:35:31,51.53582399,0.08205903,3.79,54.732,,4.020,148,28,41,,
T,2025-11-09 19:35:32,51.53579614,0.08209047,3.79,55.767,,3.610,147,29,41,,
T,2025-11-09 19:35:33,51.53576823,0.08212111,3.79,55.870,,3.250,144,29,41,,
T,2025-11-09 19:35:34,51.53574728,0.08214916,3.79,56.338,,2.860,145,29,41,,
T,2025-11-09 19:35:35,51.53572549,0.08217427,3.79,56.436,,2.740,144,29,41,,
T,2025-11-09 19:35:36,51.53570236,0.08220207,3.79,55.853,,3.380,143,29,41,,
