type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-11-14 13:10:15,51.51448555,0.05999842,3.79,45.644,,0.000,,25,42,20251114-131015,GPS Logger: 20251114-131015 - Only bus 2
T,2025-11-14 13:10:16,51.51448490,0.06000056,3.79,45.254,,0.000,,25,42,,
T,2025-11-14 13:10:17,51.51448490,0.06000849,3.79,44.720,,0.540,75,25,42,,
T,2025-11-14 13:10:18,51.51448696,0.06002824,3.79,45.103,,1.650,80,25,42,,
T,2025-11-14 13:10:19,51.51448910,0.06005912,3.79,45.569,,2.060,88,24,42,,
T,2025-11-14 13:10:20,51.51448712,0.06009907,3.79,44.925,,2.740,96,25,42,,
T,2025-11-14 13:10:21,51.51447919,0.06015102,3.79,44.063,,3.620,105,25,42,,
T,2025-11-14 13:10:22,51.51446629,0.06021189,3.79,43.916,,4.180,108,25,42,,
T,2025-11-14 13:10:23,51.51445056,0.06027452,3.79,43.530,,4.430,112,25,42,,
T,2025-11-14 13:10:24,51.51443355,0.06033584,3.79,43.479,,4.500,114,24,42,,
T,2025-11-14 13:10:25,51.51441896,0.06039577,3.79,43.748,,4.330,112,24,42,,
T,2025-11-14 13:10:26,51.51441000,0.06045341,3.79,43.422,,3.890,105,24,42,,
T,2025-11-14 13:10:27,51.51440758,0.06050788,3.79,43.205,,3.570,95,25,42,,
T,2025-11-14 13:10:28,51.51441371,0.06055709,3.79,43.234,,3.360,78,26,42,,
T,2025-11-14 13:10:29,51.51443332,0.06060112,3.79,43.194,,3.710,55,26,42,,
T,2025-11-14 13:10:30,51.51446969,0.06062972,3.79,42.992,,4.400,23,26,42,,
T,2025-11-14 13:10:31,51.51451312,0.06063727,3.79,43.021,,4.570,358,26,42,,
T,2025-11-14 13:10:32,51.51457417,0.06062362,3.79,42.373,,5.600,335,26,42,,
T,2025-11-14 13:10:33,51.51463282,0.06061727,3.79,42.466,,6.370,355,25,42,,
T,2025-11-14 13:10:34,51.51469995,0.06061092,3.79,42.418,,7.190,357,26,42,,
T,2025-11-14 13:10:35,51.51477308,0.06060899,3.79,42.319,,8.030,345,25,42,,
T,2025-11-14 13:10:36,51.51485034,0.06060096,3.79,41.773,,8.980,358,25,42,,
T,2025-11-14 13:10:37,51.51493604,0.06059307,3.79,41.293,,9.620,358,25,42,,
