type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-10-21 16:26:12,51.52711524,0.12063532,3.99,41.238,,8.330,98,21,41,20251021-172612,GPS Logger: 20251021-172612 - Car drive 1
T,2025-10-21 16:26:13,51.52710472,0.12075785,3.79,40.960,,8.280,98,22,41,,
T,2025-10-21 16:26:14,51.52709723,0.12088391,3.79,41.608,,8.420,98,23,41,,
T,2025-10-21 16:26:15,51.52708647,0.12100839,3.79,41.744,,9.070,98,23,41,,
T,2025-10-21 16:26:16,51.52708131,0.12113545,3.79,41.963,,9.150,98,21,41,,
T,2025-10-21 16:26:17,51.52707065,0.12126640,3.79,41.280,,9.300,98,21,41,,
T,2025-10-21 16:26:18,51.52705927,0.12139674,3.79,41.273,,9.160,98,21,41,,
T,2025-10-21 16:26:19,51.52704296,0.12153117,3.79,40.257,,9.100,99,21,41,,
T,2025-10-21 16:26:20,51.52702840,0.12165786,3.79,39.807,,9.030,100,21,41,,
T,2025-10-21 16:26:21,51.52701434,0.12179063,3.79,40.132,,9.570,98,22,41,,
T,2025-10-21 16:26:22,51.52699608,0.12193753,3.79,39.930,,10.410,96,22,41,,
T,2025-10-21 16:26:23,51.52699016,0.12208702,3.79,39.344,,11.660,97,24,41,,
T,2025-10-21 16:26:24,51.52697640,0.12224727,3.79,39.165,,12.000,99,24,41,,
T,2025-10-21 16:26:25,51.52696376,0.12241674,3.79,38.661,,12.670,98,24,41,,
T,2025-10-21 16:26:26,51.52694795,0.12259265,3.79,38.842,,12.630,99,24,41,,
T,2025-10-21 16:26:27,51.52693133,0.12275420,3.79,38.508,,10.780,99,23,41,,
T,2025-10-21 16:26:28,51.52691761,0.12289403,3.79,39.258,,8.780,103,21,41,,
T,2025-10-21 16:26:29,51.52690114,0.12301278,3.79,39.862,,6.750,103,19,41,,
T,2025-10-21 16:26:30,51.52688519,0.12309713,3.79,40.589,,4.850,106,20,41,,
