type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-10-21 17:55:20,51.49112766,0.28737726,3.79,52.795,,13.090,49,22,42,20251021-185520,GPS Logger: 20251021-185520 - Car drive 2
T,2025-10-21 17:55:21,51.49120920,0.28749131,3.79,51.876,,12.890,37,23,42,,
T,2025-10-21 17:55:22,51.49130056,0.28758530,3.79,51.122,,12.290,28,23,42,,
T,2025-10-21 17:55:23,51.49139499,0.28764467,3.79,51.399,,12.300,17,22,42,,
T,2025-10-21 17:55:24,51.49149252,0.28768926,3.79,51.399,,11.710,10,22,42,,
T,2025-10-21 17:55:25,51.49159772,0.28770545,3.79,51.798,,11.980,2,22,42,,
T,2025-10-21 17:55:26,51.49170337,0.28772149,3.79,51.288,,12.020,5,23,42,,
T,2025-10-21 17:55:27,51.49180038,0.28771347,3.79,51.765,,11.280,0,22,42,,
T,2025-10-21 17:55:28,51.49190474,0.28764213,3.79,51.677,,11.470,350,22,42,,
T,2025-10-21 17:55:29,51.49198604,0.28756288,4.24,51.353,,10.750,340,22,42,,
T,2025-10-21 17:55:30,51.49206367,0.28745973,4.03,52.346,,11.060,329,21,42,,
T,2025-10-21 17:55:31,51.49211812,0.28736535,3.93,53.547,,11.020,319,21,42,,
T,2025-10-21 17:55:32,51.49219035,0.28726118,3.92,54.638,,11.030,309,20,42,,
T,2025-10-21 17:55:33,51.49223750,0.28713272,3.87,56.809,,10.560,298,21,42,,
T,2025-10-21 17:55:34,51.49227787,0.28697836,3.81,57.330,,11.550,293,21,42,,
T,2025-10-21 17:55:35,51.49231241,0.28683243,3.79,58.736,,10.740,283,20,42,,
T,2025-10-21 17:55:36,51.49232367,0.28666928,3.79,59.338,,11.300,276,20,42,,
T,2025-10-21 17:55:37,51.49232308,0.28651278,3.79,59.914,,10.950,267,19,42,,
T,2025-10-21 17:55:38,51.49230556,0.28635828,3.79,60.609,,10.750,258,20,42,,
T,2025-10-21 17:55:39,51.49228053,0.28621073,3.79,62.227,,10.880,251,20,42,,
T,2025-10-21 17:55:40,51.49224844,0.28608121,3.79,62.302,,10.510,244,21,42,,
T,2025-10-21 17:55:41,51.49220238,0.28595818,3.79,62.208,,9.700,236,22,42,,
T,2025-10-21 17:55:42,51.49215713,0.28586042,3.79,62.705,,8.110,228,22,42,,
T,2025-10-21 17:55:43,51.49211769,0.28578923,3.79,62.557,,5.430,217,22,41,,
T,2025-10-21 17:55:44,51.49208964,0.28575921,3.79,62.345,,2.800,200,23,41,,
T,2025-10-21 17:55:45,51.49207635,0.28574566,3.79,62.824,,0.950,211,22,41,,
T,2025-10-21 17:55:46,51.49206624,0.28574350,3.79,63.030,,0.230,212,22,41,,
T,2025-10-21 17:55:47,51.49206832,0.28574465,3.79,62.425,,0.000,,23,41,,
T,2025-10-21 17:55:48,51.49206811,0.28574330,3.79,62.244,,0.000,,23,42,,
T,2025-10-21 17:55:49,51.49206784,0.28574361,3.79,62.252,,0.000,,23,42,,
T,2025-10-21 17:55:50,51.49206743,0.28574279,3.79,62.383,,0.000,,21,42,,
T,2025-10-21 17:55:51,51.49206749,0.28574258,3.79,62.484,,0.000,,21,42,,
T,2025-10-21 17:55:52,51.49206568,0.28574387,3.79,62.339,,0.000,,21,42,,
T,2025-10-21 17:55:53,51.49206564,0.28574382,3.79,62.306,,0.000,,20,42,,
T,2025-10-21 17:55:54,51.49206714,0.28574353,3.79,62.405,,0.000,,19,42,,
T,2025-10-21 17:55:55,51.49206729,0.28574467,3.79,62.336,,0.000,,19,42,,
T,2025-10-21 17:55:56,51.49206789,0.28574536,3.79,62.171,,0.000,,19,42,,
T,2025-10-21 17:55:57,51.49205658,0.28573921,3.79,62.126,,1.790,209,19,42,,
T,2025-10-21 17:55:58,51.49203010,0.28572779,3.79,62.255,,3.320,205,20,42,,
