#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2025-10-19T17:38:07.761+01:00","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2025-10-19T17:38:11.129+01:00","TRACKPOINT",51.508671,0.02576,70.9,6,,3.95,,,,,,
"2025-10-19T17:38:20.1+01:00","TRACKPOINT",51.508686,0.025866,59.7,2,,2.39,,,,,,
"2025-10-19T17:38:21.141+01:00","IDLE",51.508686,0.025866,59.7,2,,2.39,,,,,,
"2025-10-19T17:38:28.923+01:00","TRACKPOINT",51.508781,0.025853,56.8,2,,2.62,,,,,,
"2025-10-19T17:38:38.933+01:00","TRACKPOINT",51.508853,0.025853,55.4,2,,2.83,,,,,,
"2025-10-19T17:38:38.945+01:00","IDLE",51.508853,0.025853,55.4,2,,2.83,,,,,,
"2025-10-19T17:38:46.931+01:00","TRACKPOINT",51.508946,0.025853,55.3,2,,2.67,,,,,,
"2025-10-19T17:38:56.94+01:00","TRACKPOINT",51.509019,0.025853,51.3,2,,2.52,,,,,,
"2025-10-19T17:38:56.951+01:00","IDLE",51.509019,0.025853,51.3,2,,2.52,,,,,,
"2025-10-19T17:39:08.922+01:00","TRACKPOINT",51.509109,0.025835,49.3,2,,1.94,,,,,,
"2025-10-19T17:39:18.926+01:00","TRACKPOINT",51.509163,0.025801,46.5,2,,1.66,,,,,,
"2025-10-19T17:39:18.937+01:00","IDLE",51.509163,0.025801,46.5,2,,1.66,,,,,,
"2025-10-19T17:39:27.932+01:00","TRACKPOINT",51.509248,0.025751,48.1,2,,3.15,,,,,,
"2025-10-19T17:39:37.931+01:00","TRACKPOINT",51.509328,0.025781,50.1,2,,2.36,,,,,,
"2025-10-19T17:39:37.946+01:00","IDLE",51.509328,0.025781,50.1,2,,2.36,,,,,,
"2025-10-19T17:39:49.93+01:00","TRACKPOINT",51.509386,0.025905,48.3,2,,2.52,,,,,,
"2025-10-19T17:39:55.931+01:00","TRACKPOINT",51.509383,0.026051,47.8,2,,2.85,,,,,,
"2025-10-19T17:40:04.923+01:00","TRACKPOINT",51.509364,0.026215,45.5,2,,3.73,,,,,,
"2025-10-19T17:40:13.929+01:00","TRACKPOINT",51.509345,0.026375,43.4,2,,3.61,,,,,,
"2025-10-19T17:40:22.924+01:00","TRACKPOINT",51.509326,0.026518,43.2,2,,3.28,,,,,,
"2025-10-19T17:40:32.924+01:00","TRACKPOINT",51.509383,0.026598,42.7,2,,2.24,,,,,,
"2025-10-19T17:40:32.936+01:00","IDLE",51.509383,0.026598,42.7,2,,2.24,,,,,,
"2025-10-19T17:40:37.931+01:00","TRACKPOINT",51.509498,0.026601,42.5,3,,2.33,,,,,,
"2025-10-19T17:40:47.936+01:00","TRACKPOINT",51.509546,0.026615,45,2,,2.14,,,,,,
"2025-10-19T17:40:47.948+01:00","IDLE",51.509546,0.026615,45,2,,2.14,,,,,,
"2025-10-19T17:41:37.923+01:00","TRACKPOINT",51.50964,0.026631,49.1,2,,0,,,,,,
