#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2025-11-15T16:17:06.433Z","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2025-11-15T16:17:08.761Z","TRACKPOINT",51.376836,-2.356198,46.6,6,,6.72,,,,,,
"2025-11-15T16:17:16.763Z","TRACKPOINT",51.376909,-2.356299,53,2,,3.22,,,,,,
"2025-11-15T16:17:26.568Z","TRACKPOINT",51.376958,-2.356306,55.2,2,,3.12,,,,,,
"2025-11-15T16:17:26.776Z","IDLE",51.376958,-2.356306,55.2,2,,3.12,,,,,,
"2025-11-15T16:17:35.573Z","TRACKPOINT",51.377048,-2.35631,56.5,2,,3.7,,,,,,
"2025-11-15T16:17:44.574Z","TRACKPOINT",51.377138,-2.35631,58.5,2,,3.91,,,,,,
"2025-11-15T16:17:53.575Z","TRACKPOINT",51.377236,-2.356325,59.6,2,,2.81,,,,,,
"2025-11-15T16:18:02.576Z","TRACKPOINT",51.377291,-2.356456,63.2,2,,3.37,,,,,,
"2025-11-15T16:18:08.569Z","TRACKPOINT",51.377286,-2.356608,63.9,2,,4.04,,,,,,
"2025-11-15T16:18:18.577Z","TRACKPOINT",51.377321,-2.35671,64.1,2,,2.13,,,,,,
"2025-11-15T16:18:18.587Z","IDLE",51.377321,-2.35671,64.1,2,,2.13,,,,,,
"2025-11-15T16:18:54.588Z","TRACKPOINT",51.377918,-2.356565,54.1,10,,0,,,,,,
"2025-11-15T16:18:58.567Z","TRACKPOINT",51.377811,-2.356598,83,4,,0,,,,,,
"2025-11-15T16:19:05.567Z","TRACKPOINT",51.377675,-2.356553,79.6,2,,0,,,,,,
"2025-11-15T16:19:15.551Z","TRACKPOINT",51.37763,-2.356463,76.5,2,,0,,,,,,
"2025-11-15T16:19:15.579Z","IDLE",51.37763,-2.356463,76.5,2,,0,,,,,,
"2025-11-15T16:22:08.55Z","TRACKPOINT",51.37773,-2.356453,76,2,,2.19,,,,,,
"2025-11-15T16:22:17.542Z","TRACKPOINT",51.377821,-2.356478,78.7,2,,3.65,,,,,,
"2025-11-15T16:22:27.544Z","TRACKPOINT",51.377751,-2.356525,81.7,2,,0,,,,,,
"2025-11-15T16:22:27.552Z","IDLE",51.377751,-2.356525,81.7,2,,0,,,,,,
"2025-11-15T16:22:34.552Z","TRACKPOINT",51.37766,-2.356553,81.8,2,,1.61,,,,,,
"2025-11-15T16:22:44.546Z","TRACKPOINT",51.377666,-2.356428,81.2,2,,2.37,,,,,,
"2025-11-15T16:22:44.569Z","IDLE",51.377666,-2.356428,81.2,2,,2.37,,,,,,
"2025-11-15T16:24:41.539Z","TRACKPOINT",51.377595,-2.356548,66.1,3,,0,,,,,,
"2025-11-15T16:24:44.57Z","TRACKPOINT",51.377565,-2.356706,66.9,4,,0,,,,,,
"2025-11-15T16:24:47.556Z","TRACKPOINT",51.377555,-2.356888,67.5,4,,0,,,,,,
"2025-11-15T16:24:49.542Z","TRACKPOINT",51.377541,-2.357033,68.1,4,,14.39,,,,,,
"2025-11-15T16:24:51.546Z","TRACKPOINT",51.377496,-2.357203,68.5,4,,17.05,,,,,,
"2025-11-15T16:24:53.54Z","TRACKPOINT",51.37743,-2.357408,69,4,,19.4,,,,,,
"2025-11-15T16:24:54.54Z","TRACKPOINT",51.377373,-2.357529,69.2,3,,27.48,,,,,,
"2025-11-15T16:24:56.566Z","TRACKPOINT",51.377301,-2.357791,69.4,3,,28.86,,,,,,
"2025-11-15T16:24:58.559Z","TRACKPOINT",51.377276,-2.358078,68.2,3,,30.56,,,,,,
"2025-11-15T16:24:59.545Z","TRACKPOINT",51.377259,-2.35823,68.8,3,,32.64,,,,,,
"2025-11-15T16:25:00.546Z","TRACKPOINT",51.377228,-2.358376,69.9,3,,33.83,,,,,,
"2025-11-15T16:25:01.573Z","TRACKPOINT",51.37721,-2.358518,70.9,2,,35.04,,,,,,
"2025-11-15T16:25:02.556Z","TRACKPOINT",51.377191,-2.358668,71.6,2,,37.15,,,,,,
"2025-11-15T16:25:03.565Z","TRACKPOINT",51.377168,-2.358823,71.9,2,,38.28,,,,,,
"2025-11-15T16:25:04.577Z","TRACKPOINT",51.377163,-2.358988,73.9,2,,39.29,,,,,,
"2025-11-15T16:25:05.566Z","TRACKPOINT",51.377158,-2.359163,77.2,3,,40.22,,,,,,
"2025-11-15T16:25:06.559Z","TRACKPOINT",51.377146,-2.359333,78.6,3,,41.37,,,,,,
"2025-11-15T16:25:07.565Z","TRACKPOINT",51.377143,-2.359505,77.7,3,,40.52,,,,,,
"2025-11-15T16:25:08.569Z","TRACKPOINT",51.377148,-2.359678,76.5,2,,42.16,,,,,,
"2025-11-15T16:25:09.557Z","TRACKPOINT",51.377153,-2.359856,75,2,,42.29,,,,,,
"2025-11-15T16:25:10.548Z","TRACKPOINT",51.377166,-2.360025,75.1,2,,43.08,,,,,,
"2025-11-15T16:25:11.557Z","TRACKPOINT",51.377183,-2.360201,75.4,3,,43.55,,,,,,
"2025-11-15T16:25:12.569Z","TRACKPOINT",51.377195,-2.360398,76,3,,45.46,,,,,,
"2025-11-15T16:25:13.565Z","TRACKPOINT",51.377198,-2.360596,74.2,3,,46.7,,,,,,
"2025-11-15T16:25:14.562Z","TRACKPOINT",51.377216,-2.360765,72.9,3,,45.09,,,,,,
"2025-11-15T16:25:15.566Z","TRACKPOINT",51.377238,-2.360943,72.4,3,,47.13,,,,,,
"2025-11-15T16:25:16.549Z","TRACKPOINT",51.37725,-2.361128,70.9,3,,47.65,,,,,,
"2025-11-15T16:25:17.569Z","TRACKPOINT",51.377259,-2.361316,70,3,,47.66,,,,,,
"2025-11-15T16:25:18.567Z","TRACKPOINT",51.377286,-2.361501,70,3,,48.52,,,,,,
"2025-11-15T16:25:19.557Z","TRACKPOINT",51.377313,-2.361685,70.6,3,,51.14,,,,,,
"2025-11-15T16:25:20.552Z","TRACKPOINT",51.377334,-2.361879,70.9,3,,50.22,,,,,,
"2025-11-15T16:25:21.563Z","TRACKPOINT",51.377355,-2.362066,71.9,3,,47.86,,,,,,
"2025-11-15T16:25:22.559Z","TRACKPOINT",51.377376,-2.362251,72,3,,49.04,,,,,,
"2025-11-15T16:25:23.563Z","TRACKPOINT",51.377415,-2.362451,75.2,3,,50.45,,,,,,
"2025-11-15T16:25:24.565Z","TRACKPOINT",51.377449,-2.362655,77.5,3,,52.12,,,,,,
"2025-11-15T16:25:25.563Z","TRACKPOINT",51.377501,-2.362865,81.3,3,,54.78,,,,,,
"2025-11-15T16:25:26.549Z","TRACKPOINT",51.377548,-2.36308,84.4,3,,54.75,,,,,,
"2025-11-15T16:25:27.566Z","TRACKPOINT",51.377576,-2.363308,84.8,3,,56.55,,,,,,
