type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-11-09 19:26:38,51.53943520,0.05274473,3.86,42.797,,0.000,,27,40,20251109-192638,GPS Logger: 20251109-192638 - 1 train stop
T,2025-11-09 19:26:39,51.53943540,0.05274286,3.81,43.257,,0.000,,27,40,,
T,2025-11-09 19:26:40,51.53943702,0.05274384,3.79,42.771,,0.000,,27,40,,
T,2025-11-09 19:26:41,51.53943910,0.05274408,3.79,43.853,,0.000,,25,40,,
T,2025-11-09 19:26:42,51.53944186,0.05274271,3.79,44.080,,0.000,,25,40,,
T,2025-11-09 19:26:43,51.53944473,0.05274189,3.79,44.296,,0.000,,24,40,,
T,2025-11-09 19:26:44,51.53944825,0.05274157,3.79,44.787,,0.000,,24,40,,
T,2025-11-09 19:26:45,51.53945097,0.05274153,3.79,45.277,,0.000,,23,40,,
T,2025-11-09 19:26:46,51.53945304,0.05274169,3.79,45.402,,0.000,,23,40,,
T,2025-11-09 19:26:47,51.53945433,0.05274220,3.79,45.541,,0.000,,22,40,,
T,2025-11-09 19:26:48,51.53945508,0.05274264,3.79,45.619,,0.000,,23,40,,
T,2025-11-09 19:26:49,51.53945562,0.05274269,3.79,45.679,,0.000,,24,40,,
T,2025-11-09 19:26:50,51.53945596,0.05274355,3.79,45.748,,0.000,,24,40,,
T,2025-11-09 19:26:51,51.53945631,0.05274382,3.79,45.811,,0.000,,24,40,,
T,2025-11-09 19:26:52,51.53945680,0.05274382,3.79,45.902,,0.000,,24,40,,
T,2025-11-09 19:26:53,51.53945707,0.05274372,3.79,45.870,,0.000,,23,40,,
T,2025-11-09 19:26:54,51.53945704,0.05274398,9.94,45.834,,0.000,,24,40,,
T,2025-11-09 19:26:55,51.53945731,0.05274370,9.94,45.866,,0.000,,24,40,,
T,2025-11-09 19:26:56,51.53945754,0.05274345,9.94,45.831,,0.000,,24,40,,
T,2025-11-09 19:26:57,51.53945782,0.05274305,9.94,45.830,,0.000,,25,40,,
T,2025-11-09 19:26:58,51.53945801,0.05274331,9.94,45.915,,0.000,,25,40,,
T,2025-11-09 19:26:59,51.53945804,0.05274350,9.94,45.910,,0.000,,25,40,,
T,2025-11-09 19:27:00,51.53945803,0.05274346,9.94,45.898,,0.000,,24,40,,
T,2025-11-09 19:27:01,51.53945830,0.05274328,9.94,45.940,,0.000,,26,40,,
T,2025-11-09 19:27:02,51.53945874,0.05274309,9.94,46.002,,0.000,,27,40,,
T,2025-11-09 19:27:03,51.53945911,0.05274370,9.94,46.121,,0.000,,27,40,,
T,2025-11-09 19:27:04,51.53947400,0.05278828,9.94,47.035,,4.890,64,27,40,,
T,2025-11-09 19:27:05,51.53949388,0.05285205,9.94,46.501,,4.310,64,27,40,,
T,2025-11-09 19:27:06,51.53951984,0.05292786,9.94,44.661,,5.090,64,27,40,,
T,2025-11-09 19:27:07,51.53953646,0.05299873,9.94,44.528,,4.770,65,27,40,,
T,2025-11-09 19:27:08,51.53956486,0.05307501,9.94,44.218,,4.990,61,27,40,,
T,2025-11-09 19:27:09,51.53957403,0.05315060,9.94,42.047,,4.510,75,27,40,,
T,2025-11-09 19:27:10,51.53959721,0.05321823,9.94,42.644,,5.430,62,26,40,,
T,2025-11-09 19:27:11,51.53961873,0.05329032,9.94,42.241,,5.510,63,26,40,,
T,2025-11-09 19:27:12,51.53964118,0.05336770,9.94,42.034,,5.520,64,26,40,,
T,2025-11-09 19:27:13,51.53967357,0.05344866,9.94,42.348,,5.580,63,26,40,,
T,2025-11-09 19:27:14,51.53970296,0.05352280,9.94,42.273,,5.540,63,26,40,,
T,2025-11-09 19:27:15,51.53972917,0.05359818,9.94,42.028,,5.490,61,27,40,,
T,2025-11-09 19:27:16,51.53975471,0.05368820,9.94,41.667,,5.530,63,26,40,,
T,2025-11-09 19:27:17,51.53977344,0.05376346,9.94,41.206,,5.550,63,26,40,,
T,2025-11-09 19:27:18,51.53979554,0.05383074,9.94,40.687,,5.430,64,26,40,,
T,2025-11-09 19:27:19,51.53982202,0.05390196,9.94,41.039,,5.540,63,25,40,,
T,2025-11-09 19:27:20,51.53984202,0.05398233,9.94,40.802,,5.540,62,25,40,,
T,2025-11-09 19:27:21,51.53986306,0.05405596,9.94,40.617,,5.520,63,26,40,,
T,2025-11-09 19:27:22,51.53988440,0.05413927,9.94,39.246,,5.490,63,26,40,,
T,2025-11-09 19:27:23,51.53990875,0.05421667,9.94,40.239,,5.300,62,26,40,,
T,2025-11-09 19:27:24,51.53992842,0.05428340,9.94,40.356,,5.550,62,28,40,,
T,2025-11-09 19:27:25,51.53995306,0.05435714,9.94,40.716,,5.640,64,28,40,,
T,2025-11-09 19:27:26,51.53998067,0.05442387,9.94,41.092,,5.500,61,28,40,,
